,0
AGG87189.1,0.10264519696055333
AGG87190.1,0.11731918010450257
AGG87191.1,0.19951309379357088
AGG87192.1,0.06093409673877227
AGG87193.1,0.1508839585446075
AGG87194.1,0.3624068913462969
AGG87195.1,0.2038388879364236
AGG87196.1,0.33204461884789743
AGG87197.1,0.2987435416346389
AGG87198.1,0.13162212158171221
AGG87199.1,0.20748828660607022
AGG87200.1,0.06396025494043224
AGG87201.1,0.19893201917959744
AGG87202.1,0.06973739525121969
AGG87203.1,0.11884489434958334
AGG87204.1,0.07059131744303342
AGG87205.1,0.3436505086285393
AGG87206.1,0.08068750929452481
AGG87207.1,0.3097451042541075
AGG87208.1,0.08184175843794311
AGG87209.1,0.13763177122716003
AGG87210.1,0.13393815175627982
AGG87211.1,0.32604424844349644
AGG87212.1,0.09162716043548284
AGG87213.1,0.12975204658742728
AGG87214.1,0.10190547992537022
AGG87215.1,0.15016796412360006
AGG87216.1,0.38655374839630585
AGG87217.1,0.15338450008771698
AGG87218.1,0.11503802124873488
AGG87219.1,0.055487384334195866
AGG87220.1,0.24074466263066993
AGG87221.1,0.16012776487523545
AGG87222.1,0.16873856706318974
AGG87223.1,0.11383716040521973
AGG87224.1,0.17867671051079193
AGG87225.1,0.12804275839663473
AGG87226.1,0.09856689026370442
AGG87227.1,0.07322438382926813
AGG87228.1,0.19505658659261071
AGG87229.1,0.3919858314898357
AGG87230.1,0.18643042130847154
AGG87231.1,0.3722732780041683
AGG87232.1,0.44335029452959235
AGG87233.1,0.2337456160758692
AGG87234.1,0.057749902183981516
AGG87235.1,0.08353357661639646
AGG87236.1,0.3807775351001082
AGG87237.1,0.16466640073919914
AGG87238.1,0.4228457364767981
AGG87239.1,0.3373943336492992
AGG87240.1,0.2400052586669623
AGG87241.1,0.3446083184302201
AGG87242.1,0.09610794587435834
AGG87243.1,0.3662595954039179
AGG87244.1,0.36910590919626063
AGG87245.1,0.15623985081021902
AGG87246.1,0.1227682796875957
AGG87247.1,0.1926892364255478
AGG87248.1,0.4243882444119733
AGG87249.1,0.35161763783246036
AGG87250.1,0.3349944437270147
AGG87251.1,0.30781215411239976
AGG87252.1,0.22495616540728505
AGG87253.1,0.16254245700691994
AGG87254.1,0.26134357919044765
AGG87255.1,0.1228964585466704
AGG87256.1,0.08580652082819207
AGG87257.1,0.05450203100917525
AGG87258.1,0.11266854108706378
AGG87259.1,0.10657254634415508
AGG87260.1,0.1538969073516026
AGG87261.1,0.20896023650513332
AGG87262.1,0.263182165812352
AGG87263.1,0.09418388307709392
AGG87264.1,0.07550111159669781
AGG87265.1,0.36146641178364525
AGG87266.1,0.3075271333876091
AGG87267.1,0.11514855623767252
AGG87268.1,0.06963399115423004
AGG87269.1,0.06508860173018508
AGG87270.1,0.1905162263136123
AGG87271.1,0.23404247445563287
AGG87272.1,0.24818693966658795
AGG87273.1,0.12554424229496375
AGG87274.1,0.24688310072541336
AGG87275.1,0.3667813165585255
